X,Y,OBJECTID_1,year,month,day,hour,minute,second,lat,lon,depth,magnitude,OBJECTID
-13169097.147,4397373.4501,130,1896,8,17,11,30,99.99,36.7,-118.3,0,6.3,130
-13525319.5783,4439107.469,131,1897,6,20,20,14,99.99,37,-121.5,0,6.3,131
-13636639.1012,4607718.4562,132,1898,3,31,7,43,99.99,38.2,-122.5,0,6.4,132
-13781354.4743,4750361.1847,133,1898,4,15,7,7,99.99,39.2,-123.8,0,6.7,133
-14003993.515,5012342.3792,134,1899,4,16,13,40,99.99,41,-125.8,0,7,134
-13536451.5274,4418219.9722,135,1899,4,30,22,41,99.99,36.85,-121.6,0,6,135
-13636639.0947,4537132.8166,136,1899,6,2,7,19,99.99,37.7,-122.5,0,5.6,136
-13514187.6263,4425177.9085,137,1899,7,6,20,10,99.99,36.9,-121.4,0,5.8,137
-13068909.5624,4055689.5143,138,1899,7,22,0,46,99.99,34.2,-117.4,0,5.9,138
-13080041.5143,4069156.8396,139,1899,7,22,20,32,99.99,34.3,-117.5,0,6.4,139
-13024381.7548,4001979.0726,140,1899,12,25,12,25,99.99,33.8,-117,0,6.7,140
-13414000.0588,4300622.0417,141,1901,3,3,7,45,99.99,36,-120.5,0,6.4,141
-13580979.3488,4621893.5716,142,1902,5,19,18,31,99.99,38.3,-122,0,5.5,142
-13402868.0953,4136735.6941,143,1902,7,28,6,57,99.99,34.8,-120.4,0,5.8,143
-13391736.1435,4123187.3531,144,1902,7,31,9,20,99.99,34.7,-120.3,0,5.8,144
-13536451.5187,4314390.6182,145,1903,3,25,7,45,99.99,36.1,-121.6,0,5.9,145
-13558715.4331,4467021.6768,146,1903,6,11,13,12,99.99,37.2,-121.8,0,6.1,146
-13558715.4344,4481006.5081,147,1903,8,3,6,49,99.99,37.3,-121.8,0,6.2,147
-13213624.9376,4232039.1367,148,1905,1,6,14,30,99.99,35.5,-118.7,0,5,148
-13425132.0151,4369641.1902,149,1905,5,26,2,50,99.99,36.5,-120.6,0,6.1,149
-13224756.8864,4204725.7199,150,1905,12,23,22,23,99.99,35.3,-118.8,0,5.8,150
-13636639.0947,4537132.8166,151,1906,4,18,13,12,21,37.7,-122.5,0,7.8,151
-12857402.4817,3882038.7842,152,1906,4,19,0,30,99.99,32.9,-115.5,0,6.2,152
-13859278.1572,5012342.3959,153,1906,4,23,9,10,99.99,41,-124.5,0,6.4,153
-13491923.7091,4232039.1153,154,1906,12,7,6,40,99.99,35.5,-121.2,0,5.7,154
-13970597.655,4938869.8852,155,1907,8,11,12,19,99.99,40.5,-125.5,0,6.4,155
-13035513.7095,4055689.5165,156,1907,9,20,1,54,99.99,34.2,-117.1,0,5.8,156
-13380604.202,4245721.3241,157,1908,4,27,10,50,99.99,35.6,-120.2,0,5.5,157
-13803618.4005,4982887.0508,158,1908,8,18,10,59,99.99,40.8,-124,0,5.8,158
-13024381.7764,4300622.0728,159,1908,11,4,8,37,99.99,36,-117,0,6,159
-13458527.9055,4779131.9221,160,1909,3,3,12,0,99.99,39.4,-120.9,0,5,160
-13469659.8576,4793548.2011,161,1909,6,23,7,24,99.99,39.5,-121,0,5.9,161
-13825882.2969,4938869.9013,162,1909,10,29,6,45,99.99,40.5,-124.2,0,6,162
-13547583.4793,4432140.4005,163,1910,3,11,6,52,99.99,36.95,-121.7,0,5.8,163
-13914937.894,4865942.9851,164,1910,3,19,0,11,99.99,40,-125,0,6,164
-12968721.9971,3961860.8632,165,1910,4,11,7,57,99.99,33.5,-116.5,0,5.8,165
-13182455.4956,4485205.6149,166,1910,5,6,16,40,99.99,37.33,-118.42,0,6,166
-13068909.5579,3988590.7828,167,1910,5,13,6,20,99.99,33.7,-117.4,0,5,167
-13068909.5579,3988590.7828,168,1910,5,15,15,47,99.99,33.7,-117.4,0,6,168
-13024381.7936,4509032.1303,169,1910,11,7,17,20,99.99,37.5,-117,0,5.5,169
-13135701.3099,4579426.5522,170,1910,11,19,2,25,99.99,38,-118,0,5.5,170
-13135701.3099,4579426.5522,171,1910,11,21,23,23,99.99,38,-118,0,6.1,171
-13135701.3099,4579426.5522,172,1910,11,22,6,5,99.99,38,-118,0,5.5,172
-13592111.2805,4411266.582,173,1910,12,31,12,11,99.99,36.8,-122.1,0,5.7,173
-13553149.4584,4474011.7729,174,1911,7,1,22,0,99.99,37.25,-121.75,0,6.4,174
-13182455.4956,4485205.6149,175,1912,1,5,3,52,99.99,37.33,-118.42,0,5.5,175
-13336076.4474,4793548.2148,176,1914,2,18,18,17,99.99,39.5,-119.8,0,5.6,176
-13336076.4474,4793548.2148,177,1914,4,24,8,34,99.99,39.5,-119.8,0,6,177
-13358340.3492,4793548.2124,178,1914,4,27,5,53,99.99,39.5,-120,0,5,178
-13580979.3343,4462829.8398,179,1914,11,9,2,31,99.99,37.17,-122,0,5.5,179
-13380604.1918,4109655.3757,180,1915,1,12,4,31,99.99,34.6,-120.2,0,5.7,180
-13302680.5817,4661688.2353,181,1915,4,5,23,11,99.99,38.58,-119.5,0,5,181
-13226983.2849,4311635.526,182,1915,5,29,6,46,99.99,36.08,-118.82,0,5,182
